 (-3.00000000+0.00000000j)  (0.00000424+0.00000000j)
 (-2.99699850+0.00000000j)  (0.00000422+0.00000000j)
 (-2.99399700+0.00000000j)  (0.00000420+0.00000000j)
 (-2.99099550+0.00000000j)  (0.00000417+0.00000000j)
 (-2.98799400+0.00000000j)  (0.00000414+0.00000000j)
 (-2.98499250+0.00000000j)  (0.00000411+0.00000000j)
 (-2.98199100+0.00000000j)  (0.00000411-0.00000000j)
 (-2.97898949+0.00000000j)  (0.00000421-0.00000000j)
 (-2.97598799+0.00000000j)  (0.00000401+0.00000000j)
 (-2.97298649+0.00000000j)  (0.00000387+0.00000000j)
 (-2.96998499+0.00000000j)  (0.00000378-0.00000000j)
 (-2.96698349+0.00000000j)  (0.00000369-0.00000000j)
 (-2.96398199+0.00000000j)  (0.00000358+0.00000000j)
 (-2.96098049+0.00000000j)  (0.00000347+0.00000000j)
 (-2.95797899+0.00000000j)  (0.00000333+0.00000000j)
 (-2.95497749+0.00000000j)  (0.00000319+0.00000000j)
 (-2.95197599+0.00000000j)  (0.00000302-0.00000000j)
 (-2.94897449+0.00000000j)  (0.00000284+0.00000000j)
 (-2.94597299+0.00000000j)  (0.00000263-0.00000000j)
 (-2.94297149+0.00000000j)  (0.00000239+0.00000000j)
 (-2.93996998+0.00000000j)  (0.00000211+0.00000000j)
 (-2.93696848+0.00000000j)  (0.00000177-0.00000000j)
 (-2.93396698+0.00000000j)  (0.00000138+0.00000000j)
 (-2.93096548+0.00000000j)  (0.00000098-0.00000000j)
 (-2.92796398+0.00000000j)  (0.00000064+0.00000000j)
 (-2.92496248+0.00000000j)  (0.00000042-0.00000000j)
 (-2.92196098+0.00000000j)  (0.00000033-0.00000000j)
 (-2.91895948+0.00000000j)  (0.00000030+0.00000000j)
 (-2.91595798+0.00000000j)  (0.00000034-0.00000000j)
 (-2.91295648+0.00000000j)  (0.00000054+0.00000000j)
 (-2.90995498+0.00000000j)  (0.00000037-0.00000000j)
 (-2.90695348+0.00000000j)  (0.00000039-0.00000000j)
 (-2.90395198+0.00000000j)  (0.00000049-0.00000000j)
 (-2.90095048+0.00000000j)  (0.00000064+0.00000000j)
 (-2.89794897+0.00000000j)  (0.00000083-0.00000000j)
 (-2.89494747+0.00000000j)  (0.00000103+0.00000000j)
 (-2.89194597+0.00000000j)  (0.00000125-0.00000000j)
 (-2.88894447+0.00000000j)  (0.00000146-0.00000000j)
 (-2.88594297+0.00000000j)  (0.00000166+0.00000000j)
 (-2.88294147+0.00000000j)  (0.00000184+0.00000000j)
 (-2.87993997+0.00000000j)  (0.00000201-0.00000000j)
 (-2.87693847+0.00000000j)  (0.00000215-0.00000000j)
 (-2.87393697+0.00000000j)  (0.00000228-0.00000000j)
 (-2.87093547+0.00000000j)  (0.00000238+0.00000000j)
 (-2.86793397+0.00000000j)  (0.00000247+0.00000000j)
 (-2.86493247+0.00000000j)  (0.00000253+0.00000000j)
 (-2.86193097+0.00000000j)  (0.00000258+0.00000000j)
 (-2.85892946+0.00000000j)  (0.00000262+0.00000000j)
 (-2.85592796+0.00000000j)  (0.00000264+0.00000000j)
 (-2.85292646+0.00000000j)  (0.00000264-0.00000000j)
