 (-3.00000000+0.00000000j)  (0.00000219+0.00097833j)
 (-2.99699850+0.00000000j)  (0.00000221+0.00097752j)
 (-2.99399700+0.00000000j)  (0.00000232+0.00097665j)
 (-2.99099550+0.00000000j)  (0.00000277+0.00097622j)
 (-2.98799400+0.00000000j)  (0.00000229+0.00097563j)
 (-2.98499250+0.00000000j)  (0.00000220+0.00097477j)
 (-2.98199100+0.00000000j)  (0.00000217+0.00097396j)
 (-2.97898949+0.00000000j)  (0.00000216+0.00097318j)
 (-2.97598799+0.00000000j)  (0.00000215+0.00097240j)
 (-2.97298649+0.00000000j)  (0.00000214+0.00097162j)
 (-2.96998499+0.00000000j)  (0.00000214+0.00097085j)
 (-2.96698349+0.00000000j)  (0.00000213+0.00097008j)
 (-2.96398199+0.00000000j)  (0.00000213+0.00096931j)
 (-2.96098049+0.00000000j)  (0.00000213+0.00096854j)
 (-2.95797899+0.00000000j)  (0.00000212+0.00096777j)
 (-2.95497749+0.00000000j)  (0.00000212+0.00096700j)
 (-2.95197599+0.00000000j)  (0.00000211+0.00096624j)
 (-2.94897449+0.00000000j)  (0.00000211+0.00096547j)
 (-2.94597299+0.00000000j)  (0.00000211+0.00096470j)
 (-2.94297149+0.00000000j)  (0.00000210+0.00096393j)
 (-2.93996998+0.00000000j)  (0.00000210+0.00096317j)
 (-2.93696848+0.00000000j)  (0.00000210+0.00096240j)
 (-2.93396698+0.00000000j)  (0.00000209+0.00096163j)
 (-2.93096548+0.00000000j)  (0.00000209+0.00096087j)
 (-2.92796398+0.00000000j)  (0.00000209+0.00096010j)
 (-2.92496248+0.00000000j)  (0.00000208+0.00095933j)
 (-2.92196098+0.00000000j)  (0.00000208+0.00095857j)
 (-2.91895948+0.00000000j)  (0.00000208+0.00095780j)
 (-2.91595798+0.00000000j)  (0.00000207+0.00095704j)
 (-2.91295648+0.00000000j)  (0.00000207+0.00095627j)
 (-2.90995498+0.00000000j)  (0.00000207+0.00095550j)
 (-2.90695348+0.00000000j)  (0.00000206+0.00095474j)
 (-2.90395198+0.00000000j)  (0.00000206+0.00095397j)
 (-2.90095048+0.00000000j)  (0.00000206+0.00095320j)
 (-2.89794897+0.00000000j)  (0.00000205+0.00095243j)
 (-2.89494747+0.00000000j)  (0.00000205+0.00095167j)
 (-2.89194597+0.00000000j)  (0.00000205+0.00095090j)
 (-2.88894447+0.00000000j)  (0.00000204+0.00095013j)
 (-2.88594297+0.00000000j)  (0.00000204+0.00094937j)
 (-2.88294147+0.00000000j)  (0.00000204+0.00094860j)
 (-2.87993997+0.00000000j)  (0.00000203+0.00094783j)
 (-2.87693847+0.00000000j)  (0.00000203+0.00094707j)
 (-2.87393697+0.00000000j)  (0.00000203+0.00094630j)
 (-2.87093547+0.00000000j)  (0.00000202+0.00094553j)
 (-2.86793397+0.00000000j)  (0.00000202+0.00094476j)
 (-2.86493247+0.00000000j)  (0.00000202+0.00094400j)
 (-2.86193097+0.00000000j)  (0.00000201+0.00094323j)
 (-2.85892946+0.00000000j)  (0.00000201+0.00094246j)
