 (-3.00000000+0.00000000j)  (-0.00000206+0.00000000j)
 (-2.99699850+0.00000000j)  (-0.00000184+0.00000000j)
 (-2.99399700+0.00000000j)  (-0.00000161+0.00000000j)
 (-2.99099550+0.00000000j)  (-0.00000158+0.00000000j)
 (-2.98799400+0.00000000j)  (-0.00000077-0.00000000j)
 (-2.98499250+0.00000000j)  (-0.00000023+0.00000000j)
 (-2.98199100+0.00000000j)  (0.00000023+0.00000000j)
 (-2.97898949+0.00000000j)  (0.00000064+0.00000000j)
 (-2.97598799+0.00000000j)  (0.00000102+0.00000000j)
 (-2.97298649+0.00000000j)  (0.00000135-0.00000000j)
 (-2.96998499+0.00000000j)  (0.00000163-0.00000000j)
 (-2.96698349+0.00000000j)  (0.00000189+0.00000000j)
 (-2.96398199+0.00000000j)  (0.00000210-0.00000000j)
 (-2.96098049+0.00000000j)  (0.00000229-0.00000000j)
 (-2.95797899+0.00000000j)  (0.00000246+0.00000000j)
 (-2.95497749+0.00000000j)  (0.00000261+0.00000000j)
 (-2.95197599+0.00000000j)  (0.00000274+0.00000000j)
 (-2.94897449+0.00000000j)  (0.00000285+0.00000000j)
 (-2.94597299+0.00000000j)  (0.00000292-0.00000000j)
 (-2.94297149+0.00000000j)  (0.00000302+0.00000000j)
 (-2.93996998+0.00000000j)  (0.00000330-0.00000000j)
 (-2.93696848+0.00000000j)  (0.00000333-0.00000000j)
 (-2.93396698+0.00000000j)  (0.00000315-0.00000000j)
 (-2.93096548+0.00000000j)  (0.00000312-0.00000000j)
 (-2.92796398+0.00000000j)  (0.00000311-0.00000000j)
 (-2.92496248+0.00000000j)  (0.00000308+0.00000000j)
 (-2.92196098+0.00000000j)  (0.00000304+0.00000000j)
 (-2.91895948+0.00000000j)  (0.00000299-0.00000000j)
 (-2.91595798+0.00000000j)  (0.00000296+0.00000000j)
 (-2.91295648+0.00000000j)  (0.00000297-0.00000000j)
 (-2.90995498+0.00000000j)  (0.00000301-0.00000000j)
 (-2.90695348+0.00000000j)  (0.00000308-0.00000000j)
 (-2.90395198+0.00000000j)  (0.00000315+0.00000000j)
 (-2.90095048+0.00000000j)  (0.00000323-0.00000000j)
 (-2.89794897+0.00000000j)  (0.00000329-0.00000000j)
 (-2.89494747+0.00000000j)  (0.00000333+0.00000000j)
 (-2.89194597+0.00000000j)  (0.00000337-0.00000000j)
 (-2.88894447+0.00000000j)  (0.00000340-0.00000000j)
 (-2.88594297+0.00000000j)  (0.00000342-0.00000000j)
 (-2.88294147+0.00000000j)  (0.00000344-0.00000000j)
 (-2.87993997+0.00000000j)  (0.00000346-0.00000000j)
 (-2.87693847+0.00000000j)  (0.00000359-0.00000000j)
 (-2.87393697+0.00000000j)  (0.00000393-0.00000000j)
 (-2.87093547+0.00000000j)  (0.00000353-0.00000000j)
 (-2.86793397+0.00000000j)  (0.00000343-0.00000000j)
 (-2.86493247+0.00000000j)  (0.00000339+0.00000000j)
 (-2.86193097+0.00000000j)  (0.00000335+0.00000000j)
 (-2.85892946+0.00000000j)  (0.00000332-0.00000000j)
 (-2.85592796+0.00000000j)  (0.00000329-0.00000000j)
 (-2.85292646+0.00000000j)  (0.00000325+0.00000000j)
 (-2.84992496+0.00000000j)  (0.00000320+0.00000000j)
 (-2.84692346+0.00000000j)  (0.00000315-0.00000000j)
 (-2.84392196+0.00000000j)  (0.00000310+0.00000000j)
 (-2.84092046+0.00000000j)  (0.00000304-0.00000000j)
 (-2.83791896+0.00000000j)  (0.00000297+0.00000000j)
 (-2.83491746+0.00000000j)  (0.00000289+0.00000000j)
 (-2.83191596+0.00000000j)  (0.00000280+0.00000000j)
 (-2.82891446+0.00000000j)  (0.00000270-0.00000000j)
 (-2.82591296+0.00000000j)  (0.00000258-0.00000000j)
 (-2.82291146+0.00000000j)  (0.00000245-0.00000000j)
 (-2.81990995+0.00000000j)  (0.00000230-0.00000000j)
 (-2.81690845+0.00000000j)  (0.00000215+0.00000000j)
 (-2.81390695+0.00000000j)  (0.00000196+0.00000000j)
 (-2.81090545+0.00000000j)  (0.00000174+0.00000000j)
 (-2.80790395+0.00000000j)  (0.00000151-0.00000000j)
 (-2.80490245+0.00000000j)  (0.00000127+0.00000000j)
 (-2.80190095+0.00000000j)  (0.00000105-0.00000000j)
 (-2.79889945+0.00000000j)  (0.00000099+0.00000000j)
 (-2.79589795+0.00000000j)  (0.00000080+0.00000000j)
 (-2.79289645+0.00000000j)  (0.00000041-0.00000000j)
 (-2.78989495+0.00000000j)  (0.00000026+0.00000000j)
 (-2.78689345+0.00000000j)  (0.00000022+0.00000000j)
 (-2.78389195+0.00000000j)  (0.00000027+0.00000000j)
 (-2.78089045+0.00000000j)  (0.00000039+0.00000000j)
 (-2.77788894+0.00000000j)  (0.00000057-0.00000000j)
 (-2.77488744+0.00000000j)  (0.00000077-0.00000000j)
 (-2.77188594+0.00000000j)  (0.00000098-0.00000000j)
 (-2.76888444+0.00000000j)  (0.00000118+0.00000000j)
 (-2.76588294+0.00000000j)  (0.00000137+0.00000000j)
 (-2.76288144+0.00000000j)  (0.00000153+0.00000000j)
 (-2.75987994+0.00000000j)  (0.00000166+0.00000000j)
 (-2.75687844+0.00000000j)  (0.00000177-0.00000000j)
 (-2.75387694+0.00000000j)  (0.00000186-0.00000000j)
 (-2.75087544+0.00000000j)  (0.00000192+0.00000000j)
 (-2.74787394+0.00000000j)  (0.00000197-0.00000000j)
 (-2.74487244+0.00000000j)  (0.00000200+0.00000000j)
 (-2.74187094+0.00000000j)  (0.00000201+0.00000000j)
 (-2.73886943+0.00000000j)  (0.00000201+0.00000000j)
 (-2.73586793+0.00000000j)  (0.00000200+0.00000000j)
 (-2.73286643+0.00000000j)  (0.00000197+0.00000000j)
 (-2.72986493+0.00000000j)  (0.00000193+0.00000000j)
 (-2.72686343+0.00000000j)  (0.00000189-0.00000000j)
 (-2.72386193+0.00000000j)  (0.00000183-0.00000000j)
 (-2.72086043+0.00000000j)  (0.00000175-0.00000000j)
 (-2.71785893+0.00000000j)  (0.00000167-0.00000000j)
 (-2.71485743+0.00000000j)  (0.00000158-0.00000000j)
 (-2.71185593+0.00000000j)  (0.00000150+0.00000000j)
 (-2.70885443+0.00000000j)  (0.00000153+0.00000000j)
 (-2.70585293+0.00000000j)  (0.00000142+0.00000000j)
 (-2.70285143+0.00000000j)  (0.00000109-0.00000000j)
 (-2.69984992+0.00000000j)  (0.00000087+0.00000000j)
 (-2.69684842+0.00000000j)  (0.00000066+0.00000000j)
 (-2.69384692+0.00000000j)  (0.00000043-0.00000000j)
 (-2.69084542+0.00000000j)  (0.00000018+0.00000000j)
 (-2.68784392+0.00000000j)  (-0.00000009-0.00000000j)
 (-2.68484242+0.00000000j)  (-0.00000039-0.00000000j)
 (-2.68184092+0.00000000j)  (-0.00000074+0.00000000j)
 (-2.67883942+0.00000000j)  (-0.00000111-0.00000000j)
 (-2.67583792+0.00000000j)  (-0.00000149+0.00000000j)
 (-2.67283642+0.00000000j)  (-0.00000187-0.00000000j)
 (-2.66983492+0.00000000j)  (-0.00000222-0.00000000j)
 (-2.66683342+0.00000000j)  (-0.00000253-0.00000000j)
 (-2.66383192+0.00000000j)  (-0.00000276-0.00000000j)
 (-2.66083042+0.00000000j)  (-0.00000292-0.00000000j)
 (-2.65782891+0.00000000j)  (-0.00000300+0.00000000j)
 (-2.65482741+0.00000000j)  (-0.00000302+0.00000000j)
 (-2.65182591+0.00000000j)  (-0.00000300+0.00000000j)
 (-2.64882441+0.00000000j)  (-0.00000294+0.00000000j)
 (-2.64582291+0.00000000j)  (-0.00000286+0.00000000j)
 (-2.64282141+0.00000000j)  (-0.00000278-0.00000000j)
 (-2.63981991+0.00000000j)  (-0.00000268+0.00000000j)
 (-2.63681841+0.00000000j)  (-0.00000256+0.00000000j)
 (-2.63381691+0.00000000j)  (-0.00000242+0.00000000j)
 (-2.63081541+0.00000000j)  (-0.00000227-0.00000000j)
 (-2.62781391+0.00000000j)  (-0.00000212+0.00000000j)
 (-2.62481241+0.00000000j)  (-0.00000197-0.00000000j)
 (-2.62181091+0.00000000j)  (-0.00000183-0.00000000j)
 (-2.61880940+0.00000000j)  (-0.00000170+0.00000000j)
 (-2.61580790+0.00000000j)  (-0.00000156-0.00000000j)
 (-2.61280640+0.00000000j)  (-0.00000141+0.00000000j)
 (-2.60980490+0.00000000j)  (-0.00000123+0.00000000j)
 (-2.60680340+0.00000000j)  (-0.00000092+0.00000000j)
 (-2.60380190+0.00000000j)  (-0.00000081-0.00000000j)
 (-2.60080040+0.00000000j)  (-0.00000074+0.00000000j)
 (-2.59779890+0.00000000j)  (-0.00000060-0.00000000j)
 (-2.59479740+0.00000000j)  (-0.00000045+0.00000000j)
 (-2.59179590+0.00000000j)  (-0.00000031-0.00000000j)
 (-2.58879440+0.00000000j)  (-0.00000017-0.00000000j)
 (-2.58579290+0.00000000j)  (-0.00000004-0.00000000j)
 (-2.58279140+0.00000000j)  (0.00000008-0.00000000j)
 (-2.57978989+0.00000000j)  (0.00000020-0.00000000j)
 (-2.57678839+0.00000000j)  (0.00000031+0.00000000j)
 (-2.57378689+0.00000000j)  (0.00000041-0.00000000j)
 (-2.57078539+0.00000000j)  (0.00000050+0.00000000j)
 (-2.56778389+0.00000000j)  (0.00000058-0.00000000j)
 (-2.56478239+0.00000000j)  (0.00000065-0.00000000j)
 (-2.56178089+0.00000000j)  (0.00000070-0.00000000j)
 (-2.55877939+0.00000000j)  (0.00000075+0.00000000j)
 (-2.55577789+0.00000000j)  (0.00000078+0.00000000j)
 (-2.55277639+0.00000000j)  (0.00000080+0.00000000j)
 (-2.54977489+0.00000000j)  (0.00000080-0.00000000j)
 (-2.54677339+0.00000000j)  (0.00000079-0.00000000j)
 (-2.54377189+0.00000000j)  (0.00000075+0.00000000j)
 (-2.54077039+0.00000000j)  (0.00000069-0.00000000j)
 (-2.53776888+0.00000000j)  (0.00000060+0.00000000j)
 (-2.53476738+0.00000000j)  (0.00000049-0.00000000j)
 (-2.53176588+0.00000000j)  (0.00000035+0.00000000j)
 (-2.52876438+0.00000000j)  (0.00000019+0.00000000j)
 (-2.52576288+0.00000000j)  (0.00000003-0.00000000j)
 (-2.52276138+0.00000000j)  (-0.00000011+0.00000000j)
 (-2.51975988+0.00000000j)  (-0.00000021+0.00000000j)
 (-2.51675838+0.00000000j)  (-0.00000023-0.00000000j)
 (-2.51375688+0.00000000j)  (-0.00000018+0.00000000j)
 (-2.51075538+0.00000000j)  (-0.00000006-0.00000000j)
 (-2.50775388+0.00000000j)  (0.00000011+0.00000000j)
 (-2.50475238+0.00000000j)  (0.00000031-0.00000000j)
 (-2.50175088+0.00000000j)  (0.00000053+0.00000000j)
 (-2.49874937+0.00000000j)  (0.00000081+0.00000000j)
 (-2.49574787+0.00000000j)  (0.00000107+0.00000000j)
 (-2.49274637+0.00000000j)  (0.00000106-0.00000000j)
 (-2.48974487+0.00000000j)  (0.00000113+0.00000000j)
 (-2.48674337+0.00000000j)  (0.00000120-0.00000000j)
 (-2.48374187+0.00000000j)  (0.00000124+0.00000000j)
 (-2.48074037+0.00000000j)  (0.00000127-0.00000000j)
 (-2.47773887+0.00000000j)  (0.00000128+0.00000000j)
 (-2.47473737+0.00000000j)  (0.00000127+0.00000000j)
 (-2.47173587+0.00000000j)  (0.00000124-0.00000000j)
 (-2.46873437+0.00000000j)  (0.00000119+0.00000000j)
 (-2.46573287+0.00000000j)  (0.00000112+0.00000000j)
 (-2.46273137+0.00000000j)  (0.00000102-0.00000000j)
 (-2.45972986+0.00000000j)  (0.00000089-0.00000000j)
 (-2.45672836+0.00000000j)  (0.00000074-0.00000000j)
 (-2.45372686+0.00000000j)  (0.00000056-0.00000000j)
 (-2.45072536+0.00000000j)  (0.00000037-0.00000000j)
 (-2.44772386+0.00000000j)  (0.00000019+0.00000000j)
 (-2.44472236+0.00000000j)  (0.00000004-0.00000000j)
 (-2.44172086+0.00000000j)  (-0.00000003-0.00000000j)
 (-2.43871936+0.00000000j)  (-0.00000002+0.00000000j)
 (-2.43571786+0.00000000j)  (0.00000007+0.00000000j)
 (-2.43271636+0.00000000j)  (0.00000021+0.00000000j)
 (-2.42971486+0.00000000j)  (0.00000035+0.00000000j)
 (-2.42671336+0.00000000j)  (0.00000048+0.00000000j)
 (-2.42371186+0.00000000j)  (0.00000058+0.00000000j)
 (-2.42071036+0.00000000j)  (0.00000065+0.00000000j)
 (-2.41770885+0.00000000j)  (0.00000068-0.00000000j)
 (-2.41470735+0.00000000j)  (0.00000068+0.00000000j)
 (-2.41170585+0.00000000j)  (0.00000064+0.00000000j)
 (-2.40870435+0.00000000j)  (0.00000057-0.00000000j)
 (-2.40570285+0.00000000j)  (0.00000046-0.00000000j)
 (-2.40270135+0.00000000j)  (0.00000031+0.00000000j)
 (-2.39969985+0.00000000j)  (0.00000013-0.00000000j)
 (-2.39669835+0.00000000j)  (-0.00000008+0.00000000j)
 (-2.39369685+0.00000000j)  (-0.00000030-0.00000000j)
 (-2.39069535+0.00000000j)  (-0.00000047+0.00000000j)
 (-2.38769385+0.00000000j)  (-0.00000053+0.00000000j)
 (-2.38469235+0.00000000j)  (-0.00000057-0.00000000j)
 (-2.38169085+0.00000000j)  (-0.00000070+0.00000000j)
 (-2.37868934+0.00000000j)  (-0.00000077-0.00000000j)
